Instar,ActiveFeeding,Fgp,Mgp,Mass,Intake,Nfrass
1,Y,Y,Y,0.002064,0.165118,6.61E-06
1,Y,N,N,0.005191,0.201008,1.03E-06
2,N,Y,N,0.005603,0.189125,2.78E-05
2,Y,N,N,0.0193,0.28328,4.64E-05
2,N,Y,Y,0.0293,0.259569,9.97E-05
3,Y,Y,N,0.0626,0.327864,1.84E-05
3,N,N,N,0.1696,0.222276,0.000199584
4,Y,Y,Y,0.1833,0.842907,0.00088312
4,Y,Y,N,0.4649,1.174727,0.0033734
4,N,N,N,1.1972,0.490843,0.00145002
4,Y,Y,Y,1.2928,1.473492,0.00280952
5,Y,Y,N,2.3388,3.970024,0.01225818
5,Y,Y,Y,5.0247,6.413071,0.0216954
5,Y,N,N,8.3967,6.845655,0.02573676
5,N,N,N,11.071,1.399822,0.01858286
1,Y,Y,N,0.00136,0.142275,7.66E-06
1,Y,Y,N,0.003887,0.156965,NA
1,Y,Y,Y,0.007017,0.261627,1.13E-05
2,N,Y,Y,0.0136,0.252979,7.87E-05
2,N,N,N,0.029,0.229611,3.57E-05
3,Y,Y,N,0.0333,0.272544,0.000212879
3,Y,N,N,0.1044,0.444235,0.00034128
3,N,Y,Y,0.1637,0.266101,0.000227478
4,Y,Y,N,0.2759,0.91363,0.0013534
4,Y,Y,N,0.6799,0.881234,0.00213458
4,N,N,N,1.2036,0.161534,0.000291672
5,Y,Y,Y,1.1941,1.736225,0.00221214
5,Y,Y,N,2.3415,3.584659,0.00907315
5,Y,Y,Y,4.8742,4.909644,0.01386098
5,Y,N,N,7.7178,5.307013,0.0212264
5,N,N,N,9.9449,2.98603,0.0184513
1,Y,Y,N,0.001087,0.119229,9.03E-06
1,Y,Y,Y,0.001785,0.15461,2.60E-05
1,Y,N,N,0.006549,0.205164,4.76E-06
1,N,Y,N,0.006708,0.151986,2.04E-06
2,Y,Y,N,0.0084,0.234476,2.75E-05
2,N,Y,N,0.0173,0.188124,2.19E-05
2,Y,Y,Y,0.0298,0.20472,5.60E-05
3,Y,Y,N,0.0491,0.283245,0.000215875
3,Y,N,N,0.1102,0.456797,0.000246303
3,Y,Y,Y,0.1596,0.518721,0.000268301
4,Y,Y,N,0.2718,0.71333,0.00099528
4,Y,Y,N,0.6323,0.706139,0.00159039
4,N,N,N,1.1452,0.133914,0.0006714
4,Y,Y,Y,1.0922,1.465442,0.0016728
5,Y,Y,N,2.1468,3.560115,0.0068145
5,Y,Y,N,4.6935,5.255495,0.01412378
5,Y,Y,Y,7.727,6.653827,0.02360864
5,N,N,N,10.8464,2.844993,0.02149695
1,Y,Y,N,0.001035,0.088358,3.58E-06
1,Y,Y,N,0.001495,0.157723,1.74E-05
1,N,Y,N,0.003526,0.130613,8.17E-06
1,Y,Y,Y,0.005967,0.189556,2.49E-05
2,Y,Y,Y,0.0114,0.252683,7.05E-05
2,N,N,N,0.0263,0.211071,2.35E-05
3,Y,Y,N,0.0263,0.248736,0.000117009
3,Y,Y,Y,0.0789,0.358726,0.0003828
3,N,N,N,0.1738,0.333337,0.000162475
4,Y,Y,N,0.1754,0.576675,0.000798
4,Y,Y,N,0.4732,1.160025,0.00271544
4,N,N,N,1.2301,0.160614,0.00103776
4,Y,Y,Y,1.2581,1.43522,0.00134041
5,Y,Y,N,2.3656,4.258054,0.0110517
5,Y,Y,Y,5.1559,6.568131,0.0207252
5,Y,N,N,8.7928,6.75397,0.0363225
5,N,N,N,11.0251,2.152805,0.01853108
1,Y,Y,N,0.000994,0.080799,1.84E-06
1,Y,Y,Y,0.002184,0.226235,2.61E-05
1,N,N,N,0.005853,0.125966,NA
2,Y,Y,N,0.007114,0.205762,6.74E-05
2,Y,Y,N,0.0186,0.253734,6.39E-05
3,N,Y,Y,0.0306,0.236687,0.000157809
3,Y,Y,N,0.0686,0.329949,0.00037884
3,Y,N,N,0.1753,0.441297,8.45E-05
3,Y,Y,Y,0.1912,0.729189,0.00102708
4,Y,Y,N,0.4803,1.152131,0.0022506
4,N,N,N,1.0446,0.464771,0.00092682
4,Y,Y,Y,1.129,1.162569,0.00116892
5,Y,Y,N,2.0173,3.354014,0.0094177
5,Y,Y,Y,4.2281,5.497262,0.0190494
5,Y,N,N,7.3661,6.284001,0.02464001
5,N,N,N,10.0648,2.589453,0.015652
1,Y,Y,N,0.001107,0.091542,3.88E-06
1,Y,Y,N,0.002472,0.167661,2.32E-05
1,N,Y,Y,0.006725,0.170163,1.60E-05
2,Y,Y,N,0.01174,0.277056,7.54E-05
2,Y,N,N,0.0326,0.303592,5.56E-05
2,N,Y,Y,0.0348,0.283536,0.000182004
3,Y,Y,N,0.083,0.351199,0.00047277
3,N,N,N,0.2155,0.301051,0.000308227
4,Y,Y,Y,0.2439,0.692755,0.00068585
4,Y,Y,N,0.461,1.318926,0.00281856
4,N,N,N,1.2373,0.672576,0.00255285
4,Y,Y,Y,1.3686,1.205644,0.00166656
5,Y,Y,N,2.1586,3.844743,0.01110275
5,Y,Y,Y,4.6072,6.800814,0.02425629
5,Y,N,N,8.343,7.042096,0.03279448
5,N,N,N,10.9242,2.904391,0.02084784
