...1,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,length_over_depth
101,Adelie,Biscoe,35,17.9,192,3725,female,2009,1.3983230179646735
102,Adelie,Biscoe,41,20,203,4725,male,2009,1.4317821063276353
103,Adelie,Biscoe,37.7,16,183,3075,female,2009,1.535008143300875
104,Adelie,Biscoe,37.8,20,190,4250,male,2009,1.374772708486752
105,Adelie,Biscoe,37.9,18.6,193,2925,female,2009,1.4274573228654335
106,Adelie,Biscoe,39.7,18.9,184,3550,male,2009,1.4493202201477426
107,Adelie,Biscoe,38.6,17.2,199,3750,female,2009,1.498060761955812
108,Adelie,Biscoe,38.2,20,190,3900,male,2009,1.3820274961085255
109,Adelie,Biscoe,38.1,17,181,3175,female,2009,1.4970559343552383
110,Adelie,Biscoe,43.2,19,197,4775,male,2009,1.5078740698501039
111,Adelie,Biscoe,38.1,16.5,198,3825,female,2009,1.5195693169746844
112,Adelie,Biscoe,45.6,20.3,191,4600,male,2009,1.4987679669379153
113,Adelie,Biscoe,39.7,17.7,193,3200,female,2009,1.497644100949002
114,Adelie,Biscoe,42.2,19.5,197,4275,male,2009,1.4710889042143458
115,Adelie,Biscoe,39.6,20.7,191,3900,female,2009,1.3831281496162493
116,Adelie,Biscoe,42.7,18.3,196,4075,male,2009,1.5275252316519468
117,Adelie,Torgersen,38.6,17,188,2900,female,2009,1.506847117425692
118,Adelie,Torgersen,37.3,20.5,199,3775,male,2009,1.3488929516911086
119,Adelie,Torgersen,35.7,17,189,3350,female,2009,1.449137674618944
120,Adelie,Torgersen,41.1,18.6,189,3325,male,2009,1.4864983751605108
121,Adelie,Torgersen,36.2,17.2,187,3150,female,2009,1.4507415906324248
122,Adelie,Torgersen,37.7,19.8,198,3500,male,2009,1.3798697054578755
123,Adelie,Torgersen,40.2,17,176,3450,female,2009,1.5377600210543065
124,Adelie,Torgersen,41.4,18.5,202,3875,male,2009,1.4959404526376836
125,Adelie,Torgersen,35.2,15.9,186,3050,female,2009,1.487896662402138
126,Adelie,Torgersen,40.6,19,199,4000,male,2009,1.4617941391533753
127,Adelie,Torgersen,38.8,17.6,191,3275,female,2009,1.4847711791873703
128,Adelie,Torgersen,41.5,18.3,195,4300,male,2009,1.5059082185981754
129,Adelie,Torgersen,39,17.1,191,3050,female,2009,1.5101992432741995
130,Adelie,Torgersen,44.1,18,210,4000,male,2009,1.5652475842498528
131,Adelie,Torgersen,38.5,17.9,190,3325,female,2009,1.4665735538413394
132,Adelie,Torgersen,43.1,19.2,197,3500,male,2009,1.4982628830304336
133,Adelie,Dream,36.8,18.5,193,3500,female,2009,1.4103861844151726
134,Adelie,Dream,37.5,18.5,199,4475,male,2009,1.4237369936287485
135,Adelie,Dream,38.1,17.6,187,3425,female,2009,1.471316664512683
136,Adelie,Dream,41.1,17.5,190,3900,male,2009,1.532504952217587
137,Adelie,Dream,35.6,17.5,191,3175,female,2009,1.426283882782707
138,Adelie,Dream,40.2,20.1,200,3975,male,2009,1.4142135623730951
139,Adelie,Dream,37,16.5,185,3400,female,2009,1.497472618255253
140,Adelie,Dream,39.7,17.9,193,4250,male,2009,1.4892538719009822
141,Adelie,Dream,40.2,17.1,193,3400,female,2009,1.5332570537853254
142,Adelie,Dream,40.6,17.2,187,3475,male,2009,1.536380524570352
143,Adelie,Dream,32.1,15.5,188,3050,female,2009,1.439085731266725
144,Adelie,Dream,40.7,17,190,3725,male,2009,1.5472936524974255
145,Adelie,Dream,37.3,16.8,192,3000,female,2009,1.490046339963323
146,Adelie,Dream,39,18.7,185,3650,male,2009,1.4441473253536854
147,Adelie,Dream,39.2,18.6,190,4250,male,2009,1.4517323726225952
148,Adelie,Dream,36.6,18.4,184,3475,female,2009,1.4103653550703126
149,Adelie,Dream,36,17.8,195,3450,female,2009,1.4221363894199317
150,Adelie,Dream,37.8,18.1,193,3750,male,2009,1.4451289873417004
151,Adelie,Dream,36,17.1,187,3700,female,2009,1.4509525002200232
152,Adelie,Dream,41.5,18.5,201,4000,male,2009,1.4977460543240444
233,Gentoo,Biscoe,49.1,14.5,212,4625,female,2009,1.8401649101511863
234,Gentoo,Biscoe,52.5,15.6,221,5450,male,2009,1.834498464263357
235,Gentoo,Biscoe,47.4,14.6,212,4725,female,2009,1.8018255582785347
236,Gentoo,Biscoe,50,15.9,224,5350,male,2009,1.7733172553297716
237,Gentoo,Biscoe,44.9,13.8,212,4750,female,2009,1.8037802494776898
238,Gentoo,Biscoe,50.8,17.3,228,5600,male,2009,1.7135974395904943
239,Gentoo,Biscoe,43.4,14.4,218,4600,female,2009,1.7360555546666383
240,Gentoo,Biscoe,51.3,14.2,218,5300,male,2009,1.9007040948916873
241,Gentoo,Biscoe,47.5,14,212,4875,female,2009,1.8419709940325182
242,Gentoo,Biscoe,52.1,17,230,5550,male,2009,1.7506301386509207
243,Gentoo,Biscoe,47.5,15,218,4950,female,2009,1.7795130420052185
